candle_num,timestamp,slug,btc_open,btc_close,btc_delta,actual_direction,decision,fair_value,up_bid,up_filled,down_bid,down_filled,both_filled,single_side,bid_size_usd,total_cost,locked_profit,pnl,pnl_pct,maker_rebate,cumulative_pnl,balance,both_fill_rate,fill_rate
1,2026-02-23T17:25:00.048170+00:00,btc-updown-5m-1771867200,64781.01,64746.16,-34.85,DOWN,QUOTE_BOTH,0.4638,0.6000,True,0.5000,True,True,,5.00,9.1667,-0.8333,-0.8333,-9.09,0.0300,-0.8333,9.1967,100.0,100.0
2,2026-02-23T17:35:00.005885+00:00,btc-updown-5m-1771867800,64576.14,64570.38,-5.76,DOWN,QUOTE_BOTH,0.6183,0.4800,True,0.5600,True,True,,4.60,8.5398,-0.3285,-0.3285,-3.85,0.0283,-1.1618,8.8965,100.0,100.0
3,2026-02-23T17:45:00.005664+00:00,btc-updown-5m-1771868400,64374.78,64467.14,92.36,UP,QUOTE_BOTH,0.9500,0.6000,False,0.5900,True,False,DOWN,4.45,0.0000,0.0000,-4.4483,-100.00,0.0130,-5.6100,4.4613,66.7,100.0
4,2026-02-23T17:55:00.024480+00:00,btc-updown-5m-1771869000,64440.97,64488.45,47.48,UP,QUOTE_BOTH,0.1220,0.5100,True,0.6000,True,True,,2.23,4.1267,-0.4090,-0.4090,-9.91,0.0134,-6.0190,4.0657,75.0,100.0
5,2026-02-23T18:05:00.024952+00:00,btc-updown-5m-1771869600,64813.27,64798.18,-15.09,DOWN,QUOTE_BOTH,0.0500,0.1000,True,0.6000,True,True,,2.03,2.3717,1.0164,1.0164,42.86,0.0067,-5.0026,5.0888,80.0,100.0
6,2026-02-23T18:15:00.034204+00:00,btc-updown-5m-1771870200,64826.00,64781.97,-44.03,DOWN,QUOTE_BOTH,0.0500,0.1000,True,0.6000,True,True,,2.54,2.9685,1.2722,1.2722,42.86,0.0084,-3.7304,6.3694,83.3,100.0
