candle_num,timestamp,slug,title,btc_open,btc_close,btc_delta,actual_direction,predicted_direction,decision,bid_price,bid_size_usd,filled,won,pnl,pnl_pct,maker_rebate,cumulative_pnl,balance,fill_rate,win_rate,best_bid,best_ask,spread,decision_btc_price,decision_delta
1,2026-02-23T17:25:00.046575+00:00,btc-updown-5m-1771867200,"Bitcoin Up or Down - February 23, 12:20PM-12:25PM ET",64781.01,64746.16,-34.85,DOWN,UP,QUOTE_UP,0.6500,5.00,True,False,-5.0000,-100.00,0.0129,-5.0000,5.0129,100.0,0.0,0.6400,0.6600,0.0200,64850.73,69.72
2,2026-02-23T17:35:00.046796+00:00,btc-updown-5m-1771867800,"Bitcoin Up or Down - February 23, 12:30PM-12:35PM ET",64576.14,64570.38,-5.76,DOWN,,SKIP_RISKY,0.0000,0.00,False,False,0.0000,0.00,0.0000,-5.0000,5.0129,100.0,0.0,0.0000,0.0000,0.0000,64566.19,-9.95
3,2026-02-23T17:45:00.020042+00:00,btc-updown-5m-1771868400,"Bitcoin Up or Down - February 23, 12:40PM-12:45PM ET",64374.78,64467.14,92.36,UP,DOWN,QUOTE_DOWN,0.5900,5.00,True,False,-5.0000,-100.00,0.0146,-10.0000,0.0276,100.0,0.0,0.5900,0.6000,0.0100,64333.39,-41.39
4,2026-02-23T17:55:00.036626+00:00,btc-updown-5m-1771869000,"Bitcoin Up or Down - February 23, 12:50PM-12:55PM ET",64440.98,64488.45,47.47,UP,,SKIP_RISKY,0.0000,0.00,False,False,0.0000,0.00,0.0000,-10.0000,0.0276,100.0,0.0,0.0000,0.0000,0.0000,64448.80,7.82
5,2026-02-23T18:05:00.026754+00:00,btc-updown-5m-1771869600,"Bitcoin Up or Down - February 23, 1:00PM-1:05PM ET",64813.27,64798.18,-15.09,DOWN,DOWN,QUOTE_DOWN,0.6700,0.03,True,True,0.0136,49.25,0.0001,-9.9864,0.0412,100.0,33.3,0.6700,0.6800,0.0100,64735.83,-77.44
6,2026-02-23T18:15:00.048860+00:00,btc-updown-5m-1771870200,"Bitcoin Up or Down - February 23, 1:10PM-1:15PM ET",64826.00,64781.97,-44.03,DOWN,DOWN,QUOTE_DOWN,0.5800,0.04,True,True,0.0298,72.41,0.0001,-9.9566,0.0712,100.0,50.0,0.5800,0.5900,0.0100,64790.41,-35.59
