candle_num,timestamp,slug,title,btc_open,btc_close,btc_delta,actual_direction,decision,side_bought,buy_price,bet_amount,won,taker_fee,pnl,pnl_pct,cumulative_pnl,balance,win_rate,decision_btc_price,decision_delta
1,2026-02-23T17:25:01.153655+00:00,btc-updown-5m-1771867200,"Bitcoin Up or Down - February 23, 12:20PM-12:25PM ET",64788.47,64740.07,-48.40,DOWN,SKIP_EXPENSIVE,,0.6900,0.00,False,0.0000,0.0000,0.00,0.0000,10.0000,0.0,64854.01,65.54
2,2026-02-23T17:35:01.125126+00:00,btc-updown-5m-1771867800,"Bitcoin Up or Down - February 23, 12:30PM-12:35PM ET",64579.28,64573.97,-5.31,DOWN,BUY_UP,UP,0.5100,5.00,False,0.0781,-5.0781,-101.56,-5.0781,4.9219,0.0,64586.40,7.12
3,2026-02-23T17:45:01.124950+00:00,btc-updown-5m-1771868400,"Bitcoin Up or Down - February 23, 12:40PM-12:45PM ET",64367.05,64477.47,110.42,UP,BUY_DOWN,DOWN,0.5900,4.92,False,0.0720,-4.9939,-101.46,-10.0720,-0.0720,0.0,64333.39,-33.66
4,2026-02-23T17:55:01.122786+00:00,btc-updown-5m-1771869000,"Bitcoin Up or Down - February 23, 12:50PM-12:55PM ET",64440.98,64497.54,56.56,UP,SKIP_NO_BALANCE,,0.0000,0.00,False,0.0000,0.0000,0.00,-10.0720,-0.0720,0.0,64441.97,0.99
5,2026-02-23T18:05:01.120389+00:00,btc-updown-5m-1771869600,"Bitcoin Up or Down - February 23, 1:00PM-1:05PM ET",64813.26,64789.44,-23.82,DOWN,SKIP_NO_BALANCE,,0.0000,0.00,False,0.0000,0.0000,0.00,-10.0720,-0.0720,0.0,64735.82,-77.44
6,2026-02-23T18:15:01.125627+00:00,btc-updown-5m-1771870200,"Bitcoin Up or Down - February 23, 1:10PM-1:15PM ET",64818.24,64789.11,-29.13,DOWN,SKIP_NO_BALANCE,,0.0000,0.00,False,0.0000,0.0000,0.00,-10.0720,-0.0720,0.0,64798.96,-19.28
